Gene_ID_v2	Gene_ID_v3	LFC
B9J08_001458	B9J08_01458	8.611549656
B9J08_004451	B9J08_04451	6.809597233
B9J08_000592	B9J08_00592	5.991984446
B9J08_001515	B9J08_01515	5.163949028
B9J08_004112	B9J08_04112	5.069252626
B9J08_004100	B9J08_04100	4.965966819
B9J08_005072	B9J08_05072	4.733923989
B9J08_001581	B9J08_01581	4.336657823
B9J08_003891	B9J08_03891	4.000801888
B9J08_001899	B9J08_01899	3.890896381
B9J08_001155	B9J08_01155	3.88616764
B9J08_004109	B9J08_04109	3.624762839
B9J08_004446	B9J08_04446	3.552788117
B9J08_002630	B9J08_02630	3.374752104
B9J08_004545	B9J08_04545	3.32557288
B9J08_004602	B9J08_04602	3.251021232
B9J08_003657	B9J08_03657	3.082734328
B9J08_002333	B9J08_02333	3.062818239
B9J08_004098	B9J08_04098	3.041084229
B9J08_002660	B9J08_02660	3.040690684
B9J08_004544	B9J08_04544	2.978247066
B9J08_004204	B9J08_04204	2.973014424
B9J08_004066	B9J08_04066	2.854418732
B9J08_000117	B9J08_00117	2.758624087
B9J08_004161	B9J08_04161	2.570438646
B9J08_001362	B9J08_01362	2.522523949
B9J08_001660	B9J08_01660	2.513548103
B9J08_002256	B9J08_02256	2.496233047
B9J08_000005	B9J08_00005	2.457678612
B9J08_004842	B9J08_04842	2.413905046
B9J08_000008	B9J08_00008	2.304913816
B9J08_002886	B9J08_02886	2.298180043
B9J08_000724	B9J08_00724	2.258819336
B9J08_004479	B9J08_04479	2.236139057
B9J08_001673	B9J08_01673	2.142481412
B9J08_000398	B9J08_00398	2.121091351
B9J08_002227	B9J08_02227	2.089244844
B9J08_000266	B9J08_00266	1.914482416
B9J08_003694	B9J08_03694	1.892605862
B9J08_002251	B9J08_02251	1.878771708
B9J08_004135	B9J08_04135	1.858636846
B9J08_001132	B9J08_01132	1.742351286
B9J08_004514	B9J08_04514	1.679008015
B9J08_003910	B9J08_03910	1.629414231
B9J08_000594	B9J08_00594	1.623024118
B9J08_002055	B9J08_02055	1.549234935
B9J08_003563	B9J08_03563	1.49771691
B9J08_004097	B9J08_04097	-1.421728708
B9J08_004775	B9J08_04775	-1.55091249
B9J08_001952	B9J08_01952	-1.640500652
B9J08_004798	B9J08_04798	-1.642345188
B9J08_003449	B9J08_03449	-1.69101864
B9J08_000170	B9J08_00170	-1.74827222
B9J08_002217	B9J08_02217	-1.828012597
B9J08_002951	B9J08_02951	-1.872277898
B9J08_002218	B9J08_02218	-1.899580713
B9J08_004830	B9J08_04830	-2.029188872
B9J08_005317	B9J08_05317	-2.116388369
B9J08_004444	B9J08_04444	-2.122859656
B9J08_000834	B9J08_00834	-2.183136408
B9J08_001948	B9J08_01948	-2.186250054
B9J08_003491	B9J08_03491	-2.322053946
B9J08_001520	B9J08_01520	-2.395215112
B9J08_000221	B9J08_00221	-2.424533076
B9J08_003903	B9J08_03903	-2.460713295
B9J08_004365	B9J08_04365	-2.518487576
B9J08_000438	B9J08_00438	-2.530768008
B9J08_004200	B9J08_04200	-2.633439453
B9J08_002244	B9J08_02244	-3.032463794
B9J08_005560	B9J08_05560	-3.077447365
B9J08_003908	B9J08_03908	-3.441573375
B9J08_003981	B9J08_03981	-4.034310333
B9J08_000656	B9J08_00656	-4.267964232
B9J08_002480	B9J08_02480	-5.266080783
B9J08_001549	B9J08_01549	-6.124676706
B9J08_002136	B9J08_02136	-10.0
